path,performance,language,country,chunk,start_time,end_time,duration
18/NL/en/1005257440_2869177182/vocal.ogg,1005257440_2869177182,en,NL,001,1.26,8.01,6.75
18/NL/en/1005257440_2869177182/vocal.ogg,1005257440_2869177182,en,NL,002,9.9,17.97,8.069999999999999
18/NL/en/1005257440_2869177182/vocal.ogg,1005257440_2869177182,en,NL,005,18.75,23.01,4.260000000000002
19/FR/en/1006420942_2891518295/vocal.ogg,1006420942_2891518295,en,FR,001,1.35,8.43,7.08
19/FR/en/1006420942_2891518295/vocal.ogg,1006420942_2891518295,en,FR,002,9.87,25.17,15.300000000000002
19/FR/en/1006420942_2891518295/vocal.ogg,1006420942_2891518295,en,FR,004,27.12,29.97,2.85
8/FR/en/100105431_2753075139/vocal.ogg,100105431_2753075139,en,FR,001,1.62,8.04,6.42
8/FR/en/100105431_2753075139/vocal.ogg,100105431_2753075139,en,FR,002,10.08,23.13,13.049999999999999
8/FR/en/100105431_2753075139/vocal.ogg,100105431_2753075139,en,FR,004,27.42,29.52,2.1
6/FR/en/1006420942_2899070422/vocal.ogg,1006420942_2899070422,en,FR,001,1.38,8.64,7.26
6/FR/en/1006420942_2899070422/vocal.ogg,1006420942_2899070422,en,FR,002,9.87,24.69,14.820000000000002
6/FR/en/1006420942_2899070422/vocal.ogg,1006420942_2899070422,en,FR,004,27.15,29.43,2.28
7/TH/en/1789684909_2764251360/vocal.ogg,1789684909_2764251360,en,TH,001,0.9,1.62,0.72
7/TH/en/1789684909_2764251360/vocal.ogg,1789684909_2764251360,en,TH,002,2.4,29.94,27.540000000000003
10/IN/en/1000177487_2945434640/vocal.ogg,1000177487_2945434640,en,IN,001,0.42,10.17,9.75
10/IN/en/1000177487_2945434640/vocal.ogg,1000177487_2945434640,en,IN,004,10.71,16.89,6.18
10/IN/en/1000177487_2945434640/vocal.ogg,1000177487_2945434640,en,IN,006,20.34,22.56,2.22
10/IN/en/1000177487_2945434640/vocal.ogg,1000177487_2945434640,en,IN,007,24.0,25.23,1.23
10/IN/en/1000177487_2945434640/vocal.ogg,1000177487_2945434640,en,IN,008,25.77,27.45,1.68
18/IN/en/1000177487_2729809714/vocal.ogg,1000177487_2729809714,en,IN,001,0.27,10.08,9.81
18/IN/en/1000177487_2729809714/vocal.ogg,1000177487_2729809714,en,IN,005,10.65,16.95,6.299999999999999
18/IN/en/1000177487_2729809714/vocal.ogg,1000177487_2729809714,en,IN,007,19.95,22.38,2.43
18/IN/en/1000177487_2729809714/vocal.ogg,1000177487_2729809714,en,IN,008,24.03,27.69,3.66
19/BH/en/1004777210_2811379149/vocal.ogg,1004777210_2811379149,en,BH,001,2.76,5.88,3.12
19/BH/en/1004777210_2811379149/vocal.ogg,1004777210_2811379149,en,BH,002,7.95,12.09,4.14
19/BH/en/1004777210_2811379149/vocal.ogg,1004777210_2811379149,en,BH,003,13.74,18.36,4.62
19/BH/en/1004777210_2811379149/vocal.ogg,1004777210_2811379149,en,BH,004,19.74,28.86,9.120000000000001
10/US/en/100285094_3003959747/vocal.ogg,100285094_3003959747,en,US,001,1.29,9.09,7.8
10/US/en/100285094_3003959747/vocal.ogg,100285094_3003959747,en,US,003,9.87,23.67,13.800000000000002
10/US/en/100285094_3003959747/vocal.ogg,100285094_3003959747,en,US,006,27.12,29.37,2.25
9/US/en/100285094_3003951219/vocal.ogg,100285094_3003951219,en,US,001,0.0,24.27,24.27
9/US/en/100285094_3003951219/vocal.ogg,100285094_3003951219,en,US,005,27.3,29.37,2.07
11/US/en/1013418846_2733670366/vocal.ogg,1013418846_2733670366,en,US,001,0.03,0.78,0.75
11/US/en/1013418846_2733670366/vocal.ogg,1013418846_2733670366,en,US,002,1.29,18.51,17.220000000000002
11/US/en/1013418846_2733670366/vocal.ogg,1013418846_2733670366,en,US,005,21.6,24.18,2.58
11/US/en/1013418846_2733670366/vocal.ogg,1013418846_2733670366,en,US,006,25.62,26.73,1.11
11/US/en/1013418846_2733670366/vocal.ogg,1013418846_2733670366,en,US,007,27.33,29.28,1.95
10/TH/en/1789684909_2763609694/vocal.ogg,1789684909_2763609694,en,TH,001,0.84,19.5,18.66
10/TH/en/1789684909_2763609694/vocal.ogg,1789684909_2763609694,en,TH,006,20.34,29.79,9.45
10/US/en/100833904_2902320122/vocal.ogg,100833904_2902320122,en,US,001,0.03,24.51,24.48
10/US/en/100833904_2902320122/vocal.ogg,100833904_2902320122,en,US,003,27.66,28.95,1.29
20/US/en/1003840223_2750298523/vocal.ogg,1003840223_2750298523,en,US,001,2.7,7.53,4.83
20/US/en/1003840223_2750298523/vocal.ogg,1003840223_2750298523,en,US,002,8.04,12.3,4.26
20/US/en/1003840223_2750298523/vocal.ogg,1003840223_2750298523,en,US,003,13.59,18.78,5.19
20/US/en/1003840223_2750298523/vocal.ogg,1003840223_2750298523,en,US,004,19.74,29.19,9.450000000000003
10/PH/en/1000002285_2817753733/vocal.ogg,1000002285_2817753733,en,PH,001,0.0,17.13,17.13
10/PH/en/1000002285_2817753733/vocal.ogg,1000002285_2817753733,en,PH,003,19.65,22.05,2.4
10/PH/en/1000002285_2817753733/vocal.ogg,1000002285_2817753733,en,PH,004,24.03,28.17,4.14
12/US/en/100833904_2925566836/vocal.ogg,100833904_2925566836,en,US,001,1.38,8.46,7.08
12/US/en/100833904_2925566836/vocal.ogg,100833904_2925566836,en,US,002,9.6,23.82,14.22
12/US/en/100833904_2925566836/vocal.ogg,100833904_2925566836,en,US,003,27.33,29.82,2.49
10/MY/en/1000055775_2855104887/vocal.ogg,1000055775_2855104887,en,MY,001,0.0,5.25,5.25
10/MY/en/1000055775_2855104887/vocal.ogg,1000055775_2855104887,en,MY,003,5.79,19.92,14.130000000000003
10/MY/en/1000055775_2855104887/vocal.ogg,1000055775_2855104887,en,MY,006,21.84,29.64,7.800000000000001
12/PH/en/1000002285_2821441269/vocal.ogg,1000002285_2821441269,en,PH,001,0.0,3.21,3.21
12/PH/en/1000002285_2821441269/vocal.ogg,1000002285_2821441269,en,PH,003,3.78,11.79,8.01
12/PH/en/1000002285_2821441269/vocal.ogg,1000002285_2821441269,en,PH,005,12.45,18.54,6.09
12/PH/en/1000002285_2821441269/vocal.ogg,1000002285_2821441269,en,PH,006,21.75,23.94,2.19
12/PH/en/1000002285_2821441269/vocal.ogg,1000002285_2821441269,en,PH,007,25.8,29.16,3.36
6/IT/en/1000106951_2753165168/vocal.ogg,1000106951_2753165168,en,IT,001,0.0,15.18,15.18
6/IT/en/1000106951_2753165168/vocal.ogg,1000106951_2753165168,en,IT,005,15.96,18.99,3.03
6/IT/en/1000106951_2753165168/vocal.ogg,1000106951_2753165168,en,IT,006,19.74,23.04,3.3
6/IT/en/1000106951_2753165168/vocal.ogg,1000106951_2753165168,en,IT,007,24.0,29.79,5.79
7/IT/en/1000106951_2754475608/vocal.ogg,1000106951_2754475608,en,IT,001,0.0,22.98,22.98
7/IT/en/1000106951_2754475608/vocal.ogg,1000106951_2754475608,en,IT,004,23.94,29.82,5.88
8/IT/en/1000106951_2758905980/vocal.ogg,1000106951_2758905980,en,IT,001,2.94,6.69,3.75
8/IT/en/1000106951_2758905980/vocal.ogg,1000106951_2758905980,en,IT,002,8.13,12.93,4.8
8/IT/en/1000106951_2758905980/vocal.ogg,1000106951_2758905980,en,IT,003,13.8,19.05,5.25
8/IT/en/1000106951_2758905980/vocal.ogg,1000106951_2758905980,en,IT,004,19.86,29.46,9.600000000000001
7/IT/en/1000106951_2831417234/vocal.ogg,1000106951_2831417234,en,IT,001,0.9,4.26,3.36
7/IT/en/1000106951_2831417234/vocal.ogg,1000106951_2831417234,en,IT,002,5.79,8.88,3.09
7/IT/en/1000106951_2831417234/vocal.ogg,1000106951_2831417234,en,IT,003,9.42,12.45,3.03
7/IT/en/1000106951_2831417234/vocal.ogg,1000106951_2831417234,en,IT,004,13.14,14.73,1.59
7/IT/en/1000106951_2831417234/vocal.ogg,1000106951_2831417234,en,IT,005,15.93,18.51,2.58
7/IT/en/1000106951_2831417234/vocal.ogg,1000106951_2831417234,en,IT,006,20.28,24.15,3.87
7/IT/en/1000106951_2831417234/vocal.ogg,1000106951_2831417234,en,IT,007,25.17,29.91,4.739999999999998
12/IN/en/1003182299_2809030954/vocal.ogg,1003182299_2809030954,en,IN,001,0.0,10.41,10.41
12/IN/en/1003182299_2809030954/vocal.ogg,1003182299_2809030954,en,IN,003,12.06,18.75,6.6899999999999995
12/IN/en/1003182299_2809030954/vocal.ogg,1003182299_2809030954,en,IN,005,19.74,21.75,2.01
12/IN/en/1003182299_2809030954/vocal.ogg,1003182299_2809030954,en,IN,006,23.43,27.33,3.9
7/IN/en/1000535852_2711853104/vocal.ogg,1000535852_2711853104,en,IN,001,1.11,2.58,1.47
7/IN/en/1000535852_2711853104/vocal.ogg,1000535852_2711853104,en,IN,002,3.36,4.77,1.41
7/IN/en/1000535852_2711853104/vocal.ogg,1000535852_2711853104,en,IN,003,5.55,11.43,5.88
7/IN/en/1000535852_2711853104/vocal.ogg,1000535852_2711853104,en,IN,005,12.0,14.7,2.7
7/IN/en/1000535852_2711853104/vocal.ogg,1000535852_2711853104,en,IN,006,15.21,18.99,3.78
7/IN/en/1000535852_2711853104/vocal.ogg,1000535852_2711853104,en,IN,007,20.46,21.84,1.38
7/IN/en/1000535852_2711853104/vocal.ogg,1000535852_2711853104,en,IN,008,22.77,28.65,5.879999999999999
18/IL/en/1000104860_2766179428/vocal.ogg,1000104860_2766179428,en,IL,001,1.11,3.63,2.52
18/IL/en/1000104860_2766179428/vocal.ogg,1000104860_2766179428,en,IL,002,5.16,29.91,24.75
8/HK/en/666303991_2747743871/vocal.ogg,666303991_2747743871,en,HK,001,0.6,1.89,1.29
8/HK/en/666303991_2747743871/vocal.ogg,666303991_2747743871,en,HK,002,3.48,6.57,3.0900000000000003
8/HK/en/666303991_2747743871/vocal.ogg,666303991_2747743871,en,HK,004,7.11,11.19,4.079999999999999
8/HK/en/666303991_2747743871/vocal.ogg,666303991_2747743871,en,HK,006,13.38,19.08,5.6999999999999975
8/HK/en/666303991_2747743871/vocal.ogg,666303991_2747743871,en,HK,008,20.34,29.79,9.45
20/IT/en/1000106951_2835452600/vocal.ogg,1000106951_2835452600,en,IT,001,0.75,12.51,11.76
20/IT/en/1000106951_2835452600/vocal.ogg,1000106951_2835452600,en,IT,003,13.05,19.05,6.0
20/IT/en/1000106951_2835452600/vocal.ogg,1000106951_2835452600,en,IT,004,20.25,29.7,9.45
6/HK/en/1002910654_3016558087/vocal.ogg,1002910654_3016558087,en,HK,001,0.54,10.62,10.079999999999998
6/HK/en/1002910654_3016558087/vocal.ogg,1002910654_3016558087,en,HK,005,13.14,16.65,3.51
6/HK/en/1002910654_3016558087/vocal.ogg,1002910654_3016558087,en,HK,006,19.26,20.31,1.05
6/HK/en/1002910654_3016558087/vocal.ogg,1002910654_3016558087,en,HK,007,20.91,25.56,4.649999999999999
6/HK/en/1002910654_3016558087/vocal.ogg,1002910654_3016558087,en,HK,009,26.25,29.61,3.36
10/BR/en/1007880789_2807825878/vocal.ogg,1007880789_2807825878,en,BR,001,0.0,11.46,11.46
10/BR/en/1007880789_2807825878/vocal.ogg,1007880789_2807825878,en,BR,003,12.0,14.94,2.94
10/BR/en/1007880789_2807825878/vocal.ogg,1007880789_2807825878,en,BR,004,15.48,19.14,3.66
10/BR/en/1007880789_2807825878/vocal.ogg,1007880789_2807825878,en,BR,005,19.8,29.58,9.779999999999998
11/TH/en/1005578971_2996128214/vocal.ogg,1005578971_2996128214,en,TH,001,1.23,11.1,9.87
11/TH/en/1005578971_2996128214/vocal.ogg,1005578971_2996128214,en,TH,003,12.99,14.91,1.92
11/TH/en/1005578971_2996128214/vocal.ogg,1005578971_2996128214,en,TH,004,15.57,17.61,2.04
11/TH/en/1005578971_2996128214/vocal.ogg,1005578971_2996128214,en,TH,005,18.78,23.25,4.47
11/TH/en/1005578971_2996128214/vocal.ogg,1005578971_2996128214,en,TH,006,24.15,29.94,5.79
7/TH/en/1000038201_2937573266/vocal.ogg,1000038201_2937573266,en,TH,001,0.93,10.32,9.39
7/TH/en/1000038201_2937573266/vocal.ogg,1000038201_2937573266,en,TH,004,13.71,25.89,12.18
7/TH/en/1000038201_2937573266/vocal.ogg,1000038201_2937573266,en,TH,009,26.46,29.58,3.12
10/DE/en/1007494601_2827943413/vocal.ogg,1007494601_2827943413,en,DE,001,0.39,0.99,0.6
10/DE/en/1007494601_2827943413/vocal.ogg,1007494601_2827943413,en,DE,002,1.89,5.22,3.33
10/DE/en/1007494601_2827943413/vocal.ogg,1007494601_2827943413,en,DE,003,6.0,19.02,13.02
10/DE/en/1007494601_2827943413/vocal.ogg,1007494601_2827943413,en,DE,007,19.74,23.07,3.33
10/DE/en/1007494601_2827943413/vocal.ogg,1007494601_2827943413,en,DE,008,24.03,29.4,5.37
19/IT/en/1000106951_2714761242/vocal.ogg,1000106951_2714761242,en,IT,001,0.39,29.67,29.28
