performance,id,vocal,background,mixture,vocal_start,vocal_end,background_start,background_end,mixture_start,mixture_end
1264693055_2895614785,1264693055_2895614785-001-000,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,0.12,3.12,0.1525,3.1525,0.1525,3.1525
1264693055_2895614785,1264693055_2895614785-001-001,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,1.62,4.62,1.6525,4.6525,1.6525,4.6525
1264693055_2895614785,1264693055_2895614785-003-000,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,6.12,9.12,6.1525,9.1525,6.1525,9.1525
1264693055_2895614785,1264693055_2895614785-003-001,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,7.62,10.62,7.6525,10.6525,7.6525,10.6525
1264693055_2895614785,1264693055_2895614785-003-002,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,9.12,12.12,9.1525,12.1525,9.1525,12.1525
1264693055_2895614785,1264693055_2895614785-003-003,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,10.62,13.62,10.6525,13.6525,10.6525,13.6525
1264693055_2895614785,1264693055_2895614785-003-004,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,12.12,15.12,12.1525,15.1525,12.1525,15.1525
1264693055_2895614785,1264693055_2895614785-003-005,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,13.62,16.62,13.6525,16.6525,13.6525,16.6525
1264693055_2895614785,1264693055_2895614785-003-006,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,15.12,18.12,15.1525,18.1525,15.1525,18.1525
1264693055_2895614785,1264693055_2895614785-003-007,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,16.62,19.62,16.6525,19.6525,16.6525,19.6525
1264693055_2895614785,1264693055_2895614785-003-008,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,18.12,21.12,18.1525,21.1525,18.1525,21.1525
1264693055_2895614785,1264693055_2895614785-003-009,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,19.62,22.62,19.6525,22.6525,19.6525,22.6525
1264693055_2895614785,1264693055_2895614785-003-010,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,21.12,24.12,21.1525,24.1525,21.1525,24.1525
1264693055_2895614785,1264693055_2895614785-007-000,1/RO/ro/1264693055_2895614785/vocal.ogg,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,25.29,28.29,25.322499999999998,28.3225,25.322499999999998,28.3225
1373614208_2809078834,1373614208_2809078834-002-000,1/HK/zh-Hans/1373614208_2809078834/vocal.ogg,1/HK/zh-Hans/1373614208_2809078834/background.m4a,1/HK/zh-Hans/1373614208_2809078834/mix.m4a,5.0975,8.0975,4.44,7.44,4.44,7.44
1373614208_2809078834,1373614208_2809078834-002-001,1/HK/zh-Hans/1373614208_2809078834/vocal.ogg,1/HK/zh-Hans/1373614208_2809078834/background.m4a,1/HK/zh-Hans/1373614208_2809078834/mix.m4a,6.5975,9.5975,5.94,8.94,5.94,8.94
1373614208_2809078834,1373614208_2809078834-002-002,1/HK/zh-Hans/1373614208_2809078834/vocal.ogg,1/HK/zh-Hans/1373614208_2809078834/background.m4a,1/HK/zh-Hans/1373614208_2809078834/mix.m4a,8.0975,11.0975,7.44,10.44,7.44,10.44
1373614208_2809078834,1373614208_2809078834-002-003,1/HK/zh-Hans/1373614208_2809078834/vocal.ogg,1/HK/zh-Hans/1373614208_2809078834/background.m4a,1/HK/zh-Hans/1373614208_2809078834/mix.m4a,9.5975,12.5975,8.94,11.94,8.94,11.94
1373614208_2809078834,1373614208_2809078834-002-004,1/HK/zh-Hans/1373614208_2809078834/vocal.ogg,1/HK/zh-Hans/1373614208_2809078834/background.m4a,1/HK/zh-Hans/1373614208_2809078834/mix.m4a,11.0975,14.0975,10.44,13.44,10.44,13.44
1373614208_2809078834,1373614208_2809078834-002-005,1/HK/zh-Hans/1373614208_2809078834/vocal.ogg,1/HK/zh-Hans/1373614208_2809078834/background.m4a,1/HK/zh-Hans/1373614208_2809078834/mix.m4a,12.5975,15.5975,11.94,14.94,11.94,14.94
1373614208_2809078834,1373614208_2809078834-002-006,1/HK/zh-Hans/1373614208_2809078834/vocal.ogg,1/HK/zh-Hans/1373614208_2809078834/background.m4a,1/HK/zh-Hans/1373614208_2809078834/mix.m4a,14.0975,17.0975,13.44,16.44,13.44,16.44
1373614208_2809078834,1373614208_2809078834-004-000,1/HK/zh-Hans/1373614208_2809078834/vocal.ogg,1/HK/zh-Hans/1373614208_2809078834/background.m4a,1/HK/zh-Hans/1373614208_2809078834/mix.m4a,19.1675,22.1675,18.51,21.51,18.51,21.51
1373614208_2809078834,1373614208_2809078834-004-001,1/HK/zh-Hans/1373614208_2809078834/vocal.ogg,1/HK/zh-Hans/1373614208_2809078834/background.m4a,1/HK/zh-Hans/1373614208_2809078834/mix.m4a,20.6675,23.6675,20.01,23.01,20.01,23.01
1974461227_2908469439,1974461227_2908469439-001-000,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,0.6975,3.6975,0.39,3.39,0.39,3.39
1974461227_2908469439,1974461227_2908469439-001-001,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,2.1975,5.1975,1.89,4.89,1.89,4.89
1974461227_2908469439,1974461227_2908469439-001-002,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,3.6975000000000002,6.6975,3.39,6.39,3.39,6.39
1974461227_2908469439,1974461227_2908469439-001-003,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,5.1975,8.1975,4.89,7.89,4.89,7.89
1974461227_2908469439,1974461227_2908469439-001-004,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,6.6975,9.6975,6.39,9.39,6.39,9.39
1974461227_2908469439,1974461227_2908469439-001-005,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,8.1975,11.1975,7.89,10.89,7.89,10.89
1974461227_2908469439,1974461227_2908469439-001-006,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,9.6975,12.6975,9.39,12.39,9.39,12.39
1974461227_2908469439,1974461227_2908469439-001-007,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,11.1975,14.1975,10.89,13.89,10.89,13.89
1974461227_2908469439,1974461227_2908469439-001-008,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,12.6975,15.6975,12.39,15.39,12.39,15.39
1974461227_2908469439,1974461227_2908469439-001-009,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,14.1975,17.1975,13.89,16.89,13.89,16.89
1974461227_2908469439,1974461227_2908469439-001-010,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,15.6975,18.6975,15.39,18.39,15.39,18.39
1974461227_2908469439,1974461227_2908469439-001-011,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,17.1975,20.1975,16.89,19.89,16.89,19.89
1974461227_2908469439,1974461227_2908469439-001-012,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,18.6975,21.6975,18.39,21.39,18.39,21.39
1974461227_2908469439,1974461227_2908469439-001-013,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,20.1975,23.1975,19.89,22.89,19.89,22.89
1974461227_2908469439,1974461227_2908469439-001-014,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,21.6975,24.6975,21.39,24.39,21.39,24.39
1974461227_2908469439,1974461227_2908469439-001-015,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,23.1975,26.1975,22.89,25.89,22.89,25.89
1974461227_2908469439,1974461227_2908469439-001-016,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,24.6975,27.6975,24.39,27.39,24.39,27.39
1974461227_2908469439,1974461227_2908469439-001-017,1/TR/ro/1974461227_2908469439/vocal.ogg,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,26.1975,29.1975,25.89,28.89,25.89,28.89
1123365730_2857240666,1123365730_2857240666-001-000,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,0.2475,3.2475,0.21,3.21,0.21,3.21
1123365730_2857240666,1123365730_2857240666-001-001,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,1.7475,4.7475,1.71,4.71,1.71,4.71
1123365730_2857240666,1123365730_2857240666-002-000,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,5.557499999999999,8.5575,5.52,8.52,5.52,8.52
1123365730_2857240666,1123365730_2857240666-002-001,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,7.057499999999999,10.0575,7.02,10.02,7.02,10.02
1123365730_2857240666,1123365730_2857240666-002-002,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,8.5575,11.5575,8.52,11.52,8.52,11.52
1123365730_2857240666,1123365730_2857240666-002-003,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,10.0575,13.0575,10.02,13.02,10.02,13.02
1123365730_2857240666,1123365730_2857240666-002-004,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,11.5575,14.5575,11.52,14.52,11.52,14.52
1123365730_2857240666,1123365730_2857240666-002-005,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,13.0575,16.0575,13.02,16.02,13.02,16.02
1123365730_2857240666,1123365730_2857240666-002-006,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,14.5575,17.5575,14.52,17.52,14.52,17.52
1123365730_2857240666,1123365730_2857240666-002-007,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,16.0575,19.0575,16.02,19.02,16.02,19.02
1123365730_2857240666,1123365730_2857240666-002-008,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,17.5575,20.5575,17.52,20.52,17.52,20.52
1123365730_2857240666,1123365730_2857240666-002-009,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,19.0575,22.0575,19.02,22.02,19.02,22.02
1123365730_2857240666,1123365730_2857240666-002-010,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,20.5575,23.5575,20.52,23.52,20.52,23.52
1123365730_2857240666,1123365730_2857240666-003-000,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,24.457500000000003,27.4575,24.42,27.42,24.42,27.42
1123365730_2857240666,1123365730_2857240666-003-001,1/RO/ro/1123365730_2857240666/vocal.ogg,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,25.957500000000003,28.9575,25.92,28.92,25.92,28.92
194848605_2872685700,194848605_2872685700-001-000,1/US/ro/194848605_2872685700/vocal.ogg,1/US/ro/194848605_2872685700/background.m4a,1/US/ro/194848605_2872685700/mix.m4a,0.2875,3.2875,0.0,3.0,0.0,3.0
194848605_2872685700,194848605_2872685700-001-001,1/US/ro/194848605_2872685700/vocal.ogg,1/US/ro/194848605_2872685700/background.m4a,1/US/ro/194848605_2872685700/mix.m4a,1.7875,4.7875,1.5,4.5,1.5,4.5
194848605_2872685700,194848605_2872685700-002-000,1/US/ro/194848605_2872685700/vocal.ogg,1/US/ro/194848605_2872685700/background.m4a,1/US/ro/194848605_2872685700/mix.m4a,6.7075,9.7075,6.42,9.42,6.42,9.42
194848605_2872685700,194848605_2872685700-004-000,1/US/ro/194848605_2872685700/vocal.ogg,1/US/ro/194848605_2872685700/background.m4a,1/US/ro/194848605_2872685700/mix.m4a,15.4675,18.4675,15.18,18.18,15.18,18.18
194848605_2872685700,194848605_2872685700-005-000,1/US/ro/194848605_2872685700/vocal.ogg,1/US/ro/194848605_2872685700/background.m4a,1/US/ro/194848605_2872685700/mix.m4a,21.4375,24.4375,21.15,24.15,21.15,24.15
194848605_2872685700,194848605_2872685700-005-001,1/US/ro/194848605_2872685700/vocal.ogg,1/US/ro/194848605_2872685700/background.m4a,1/US/ro/194848605_2872685700/mix.m4a,22.9375,25.9375,22.65,25.65,22.65,25.65
194848605_2872685700,194848605_2872685700-005-002,1/US/ro/194848605_2872685700/vocal.ogg,1/US/ro/194848605_2872685700/background.m4a,1/US/ro/194848605_2872685700/mix.m4a,24.4375,27.4375,24.15,27.15,24.15,27.15
194848605_2872685700,194848605_2872685700-005-003,1/US/ro/194848605_2872685700/vocal.ogg,1/US/ro/194848605_2872685700/background.m4a,1/US/ro/194848605_2872685700/mix.m4a,25.9375,28.9375,25.65,28.65,25.65,28.65
1980716334_2747244578,1980716334_2747244578-001-000,1/GB/ro/1980716334_2747244578/vocal.ogg,1/GB/ro/1980716334_2747244578/background.m4a,1/GB/ro/1980716334_2747244578/mix.m4a,0.5075,3.5075,0.0,3.0,0.0,3.0
1980716334_2747244578,1980716334_2747244578-001-001,1/GB/ro/1980716334_2747244578/vocal.ogg,1/GB/ro/1980716334_2747244578/background.m4a,1/GB/ro/1980716334_2747244578/mix.m4a,2.0075,5.0075,1.5,4.5,1.5,4.5
1980716334_2747244578,1980716334_2747244578-005-000,1/GB/ro/1980716334_2747244578/vocal.ogg,1/GB/ro/1980716334_2747244578/background.m4a,1/GB/ro/1980716334_2747244578/mix.m4a,15.6875,18.6875,15.18,18.18,15.18,18.18
1980716334_2747244578,1980716334_2747244578-006-000,1/GB/ro/1980716334_2747244578/vocal.ogg,1/GB/ro/1980716334_2747244578/background.m4a,1/GB/ro/1980716334_2747244578/mix.m4a,21.6575,24.6575,21.15,24.15,21.15,24.15
1980716334_2747244578,1980716334_2747244578-007-000,1/GB/ro/1980716334_2747244578/vocal.ogg,1/GB/ro/1980716334_2747244578/background.m4a,1/GB/ro/1980716334_2747244578/mix.m4a,25.677500000000002,28.6775,25.17,28.17,25.17,28.17
1588118777_2971847361,1588118777_2971847361-001-000,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,0.54,3.54,0.5525,3.5525,0.5525,3.5525
1588118777_2971847361,1588118777_2971847361-001-001,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,2.04,5.04,2.0525,5.0525,2.0525,5.0525
1588118777_2971847361,1588118777_2971847361-001-002,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,3.54,6.54,3.5525,6.5525,3.5525,6.5525
1588118777_2971847361,1588118777_2971847361-001-003,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,5.04,8.04,5.0525,8.0525,5.0525,8.0525
1588118777_2971847361,1588118777_2971847361-001-004,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,6.54,9.54,6.5525,9.5525,6.5525,9.5525
1588118777_2971847361,1588118777_2971847361-001-005,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,8.04,11.04,8.052499999999998,11.0525,8.052499999999998,11.0525
1588118777_2971847361,1588118777_2971847361-001-006,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,9.54,12.54,9.552499999999998,12.5525,9.552499999999998,12.5525
1588118777_2971847361,1588118777_2971847361-001-007,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,11.04,14.04,11.052499999999998,14.0525,11.052499999999998,14.0525
1588118777_2971847361,1588118777_2971847361-001-008,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,12.54,15.54,12.552499999999998,15.5525,12.552499999999998,15.5525
1588118777_2971847361,1588118777_2971847361-001-009,1/JP/zh-Hans/1588118777_2971847361/vocal.ogg,1/JP/zh-Hans/1588118777_2971847361/background.m4a,1/JP/zh-Hans/1588118777_2971847361/mix.m4a,14.04,17.04,14.052499999999998,17.0525,14.052499999999998,17.0525
